,Title,Major Genre,Running Time min,Year,US_Revenue,IMDB Rating,MPAA Rating
0,Broken Arrow,Action,108.0,1996,70.645997,5.8,R
1,Brazil,Black Comedy,136.0,1985,9.929135,8.0,R
2,Bienvenue chez les Ch'tis,Comedy,109.0,2008,1.470856,7.0,Not Rated
3,The Cable Guy,Comedy,95.0,1996,60.240295,5.8,PG-13
4,Chain Reaction,Action,106.0,1996,21.226204,5.2,PG-13
5,City Hall,Drama,111.0,1996,20.278055,6.1,R
6,Courage Under Fire,Drama,115.0,1996,59.003384,6.6,R
7,Dante's Peak,Drama,108.0,1997,67.163857,5.6,PG-13
8,Daylight,Action,115.0,1996,32.90829,5.4,PG-13
9,Dragonheart,Adventure,108.0,1996,51.36468,6.2,PG-13
10,Emma,Romantic Comedy,111.0,1996,22.231658,6.8,PG
11,Escape from L.A.,Action,101.0,1996,25.426861,5.3,R
12,Eraser,Action,115.0,1996,101.295562,5.9,R
13,From Dusk Till Dawn,Horror,107.0,1996,25.728961,7.1,R
14,Fled,Action,98.0,1996,17.192205,4.9,R
15,Fargo,Thriller/Suspense,87.0,1996,24.567751,8.3,R
16,The First Wives Club,Comedy,90.0,1996,105.489203,5.6,PG
17,The Ghost and the Darkness,Action,109.0,1996,38.564422,6.6,R
18,Gory Gory Hallelujah,Musical,100.0,2005,0.012604,5.2,Not Rated
19,The Glimmer Man,Action,92.0,1996,20.404841,4.9,R
21,Happy Gilmore,Comedy,92.0,1996,38.62346,6.9,PG-13
22,Harriet the Spy,Adventure,101.0,1996,26.570048,5.8,PG
23,Independence Day,Adventure,145.0,1996,306.169255,6.5,PG-13
24,The Island of Dr. Moreau,Adventure,95.0,1996,27.682712,4.1,PG-13
25,Jack,Drama,113.0,1996,58.617334,5.3,PG-13
26,Jingle All the Way,Comedy,89.0,1996,60.592389,4.9,PG
27,The Juror,Thriller/Suspense,120.0,1996,22.730924,5.3,R
28,Kids,Drama,90.0,1995,7.412216,6.7,Not Rated
29,Kingpin,Comedy,113.0,1996,25.023424,6.7,R
30,The Long Kiss Goodnight,Action,120.0,1996,33.447612,6.6,R
31,Aliens,Action,137.0,1986,85.160248,7.5,R
32,Mars Attacks!,Comedy,110.0,1996,37.771017,6.3,PG-13
33,Michael Jordan to the MAX,Documentary,46.0,2000,18.642318,7.2,Not Rated
34,The Mirror Has Two Faces,Romantic Comedy,127.0,1996,41.267469,6.0,PG-13
35,Mission: Impossible,Action,110.0,1996,180.981886,6.9,PG-13
36,Multiplicity,Comedy,117.0,1996,20.133326,5.7,PG-13
37,The English Patient,Drama,160.0,1996,78.716374,7.3,R
